STACK LOGFILE
Time: 16:12:29
Day:  Saturday
=======================================================================================
|Name_stack: |Command:    |Argument:     |Stack size: |Status?                         
|            |            |              |            |                                
=======================================================================================
|            |            |              |            |                                
|&p_cpu->Stack|stack_ctor  | -            |0           |OK
|            |            |              |            |
|&p_cpu->CallStack|stack_ctor  | -            |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |1             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |1             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |3             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |3             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |1             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |1             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |1             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |0             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |0             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |1             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |4             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |1             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |1             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |4             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |4             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |1             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |1             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |4             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |4             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |3             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |3             |3           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |3             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |3             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |9             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |9             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |4             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |5             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |5             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |5             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |0             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |0             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |5             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |5             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |0             |2           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |0             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |5             |0           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_push  |2             |1           |OK
|            |            |              |            |
|&p_cpu->Stack|stack_pop   |2             |0           |OK
|            |            |              |            |
